TypeofCancer,Compound,CID,CAS,Trend,Sample,TypeofSampl,TypeofControl,Formula
Gastric and esophageal,2-methylphenol,335,95-48-7,Increase,in vivo,Breath samples from patients with gastric and esophageal adenocarcinoma,Breath samples from healthy individuals,C7H8O
Gastric and esophageal,2-ethylphenol,6997,90-00-6,Increase,in vivo,Breath samples from patients with gastric and esophageal adenocarcinoma,Breath samples from healthy individuals,C8H10O
Gastric and esophageal,butanal,261,123-72-8,Increase,in vivo,Breath samples from patients with gastric and esophageal adenocarcinoma,Breath samples from healthy individuals,C4H8O
Gastric and esophageal,pentanal,8063,110-62-3,Increase,in vivo,Breath samples from patients with gastric and esophageal adenocarcinoma,Breath samples from healthy individuals,C5H10O
Gastric and esophageal,hexanal,6184,66-25-1,Increase,in vivo,Breath samples from patients with gastric and esophageal adenocarcinoma,Breath samples from healthy individuals,C6H12O
Gastric and esophageal,heptanal,8130,111-71-7,Increase,in vivo,Breath samples from patients with gastric and esophageal adenocarcinoma,Breath samples from healthy individuals,C7H14O
Gastric and esophageal,octanal,454,124-13-0,Increase,in vivo,Breath samples from patients with gastric and esophageal adenocarcinoma,Breath samples from healthy individuals,C8H16O
Gastric and esophageal,nonanal,31289,124-19-6,Increase,in vivo,Breath samples from patients with gastric and esophageal adenocarcinoma,Breath samples from healthy individuals,C9H18O
Gastric and esophageal,decanal,8175,112-31-2,Increase,in vivo,Breath samples from patients with gastric and esophageal adenocarcinoma,Breath samples from healthy individuals,C10H20O
Gastric and esophageal,5-methylheptan-3-one,7822,541-85-5,Produced,in vitro,MGC-803 gastric cancer cell line,GES-1 gastric mucous cells,C8H16O
Gastric and esophageal,butan-2-one,6569,78-93-3,Produced,in vitro,MGC-803 gastric cancer cell line,GES-1 gastric mucous cells,C4H8O
Gastric and esophageal,4-propan-2-yloxybutan-1-ol,537092,-,Decrease,in vitro,MGC-803 gastric cancer cell line,GES-1 gastric mucous cells,C7H16O2
Gastric and esophageal,nonan-1-ol,8914,28473-21-4,Decrease,in vitro,MGC-803 gastric cancer cell line,GES-1 gastric mucous cells,C9H20O
Gastric and esophageal,4-butoxybutan-1-ol,20111,-,Decrease,in vitro,MGC-803 gastric cancer cell line,GES-1 gastric mucous cells,C8H18O2
Gastric and esophageal,propyl formate,8073,110-74-7,Metabolized,in vitro,MGC-803 gastric cancer cell line,GES-1 gastric mucous cells,C4H8O2
Gastric and esophageal,"butane-1,4-diol",8064,110-63-4,Metabolized,in vitro,MGC-803 gastric cancer cell line,GES-1 gastric mucous cells,C4H10O2
Gastric and esophageal,"2,6,11-trimethyldodecane",35768,31295-56-4,Metabolized,in vitro,MGC-803 gastric cancer cell line,GES-1 gastric mucous cells,C15H32
Gastric and esophageal,5-methylheptan-3-one,7822,541-85-5,Increase,in vitro,MGC-803 gastric cancer cell line,culture medium,C8H16O
Gastric and esophageal,butan-2-one,6569,78-93-3,Increase,in vitro,MGC-803 gastric cancer cell line,culture medium,C4H8O
Gastric and esophageal,nonan-1-ol,8914,28473-21-4,Increase,in vitro,MGC-803 gastric cancer cell line,culture medium,C9H20O
Gastric and esophageal,4-propan-2-yloxybutan-1-ol,537092,-,Increase,in vitro,MGC-803 gastric cancer cell line,culture medium,C7H16O2
Gastric and esophageal,4-butoxybutan-1-ol,20111,-,Increase,in vitro,MGC-803 gastric cancer cell line,culture medium,C8H18O2
Gastric and esophageal,prop-2-enenitrile,7855,107-13-1,Increase,in vivo,Breath samples from patients with gastric cancer,Breath samples from patients with gastric intestinal metaplasia,C3H3N
Gastric and esophageal,furan-2-carbaldehyde,7362,98-01-1,Increase,in vivo,Breath samples from patients with gastric cancer,Breath samples from patients with gastric intestinal metaplasia,C5H4O2
Gastric and esophageal,2-butoxyethanol,8133,111-76-2,Increase,in vivo,Breath samples from patients with gastric cancer,Breath samples from patients with gastric intestinal metaplasia,C6H14O2
Gastric and esophageal,hexadecane,11006,544-76-3,Increase,in vivo,Breath samples from patients with gastric cancer,Breath samples from patients with gastric intestinal metaplasia,C16H34
Gastric and esophageal,4-methyloctane,16665,2216-34-4,Increase,in vivo,Breath samples from patients with gastric cancer,Breath samples from patients with gastric intestinal metaplasia,C9H20
Gastric and esophageal,"1,2,3-trimethylbenzene",10686,526-73-8,Increase,in vivo,Breath samples from patients with gastric cancer,Breath samples from patients with gastric intestinal metaplasia,C9H12
Gastric and esophageal,prop-1-en-2-ylbenzene,7407,98-83-9,Increase,in vivo,Breath samples from patients with gastric cancer,Breath samples from patients with gastric intestinal metaplasia,C9H10
Gastric and esophageal,butan-2-one,6569,78-93-3,Decrease,in vivo,Breath samples from patients with gastric cancer,Breath samples from patients with gastric intestinal metaplasia,C4H8O
Gastric and esophageal,prop-2-enenitrile,7855,107-13-1,Increase,in vivo,Breath samples from patients with gastric cancer,Breath samples from patients with peptic ulcer disease,C3H3N
Gastric and esophageal,furan-2-carbaldehyde,7362,98-01-1,Increase,in vivo,Breath samples from patients with gastric cancer,Breath samples from patients with peptic ulcer disease,C5H4O2
Gastric and esophageal,2-butoxyethanol,8133,111-76-2,Increase,in vivo,Breath samples from patients with gastric cancer,Breath samples from patients with peptic ulcer disease,C6H14O2
Gastric and esophageal,hexadecane,11006,544-76-3,Increase,in vivo,Breath samples from patients with gastric cancer,Breath samples from patients with peptic ulcer disease,C16H34
Gastric and esophageal,4-methyloctane,16665,2216-34-4,Decrease,in vivo,Breath samples from patients with gastric cancer,Breath samples from patients with peptic ulcer disease,C9H20
Gastric and esophageal,"1,2,3-trimethylbenzene",10686,526-73-8,Increase,in vivo,Breath samples from patients with gastric cancer,Breath samples from patients with peptic ulcer disease,C9H12
Gastric and esophageal,prop-1-en-2-ylbenzene,7407,98-83-9,Increase,in vivo,Breath samples from patients with gastric cancer,Breath samples from patients with peptic ulcer disease,C9H10
Gastric and esophageal,butan-2-one,6569,78-93-3,Decrease,in vivo,Breath samples from patients with gastric cancer,Breath samples from patients with peptic ulcer disease,C4H8O
Gastric and esophageal,prop-2-enenitrile,7855,107-13-1,Increase,in vivo,Breath samples from patients with gastric cancer,Breath samples from patients with less severe gastric conditions,C3H3N
Gastric and esophageal,2-butoxyethanol,8133,111-76-2,Decrease,in vivo,Breath samples from patients with gastric cancer,Breath samples from patients with less severe gastric conditions,C6H14O2
Gastric and esophageal,furan-2-carbaldehyde,7362,98-01-1,Increase,in vivo,Breath samples from patients with gastric cancer,Breath samples from patients with less severe gastric conditions,C5H4O2
Gastric and esophageal,6-methylhept-5-en-2-one,9862,409-02-9,Increase,in vivo,Breath samples from patients with gastric cancer,Breath samples from patients with less severe gastric conditions,C8H14O
Gastric and esophageal,propan-2-one,180,67-64-1,Increase,in vivo,Breath samples from patients with early gastric cancer,Breath samples from healthy individuals,C3H6O
Gastric and esophageal,"2-methylbuta-1,3-diene",6557,78-79-5,Decrease,in vivo,Breath samples from patients with advanced gastric cancer,Breath samples from healthy individuals,C5H8
Gastric and esophageal,3-methylpentane,7282,96-14-0,Increase,in vivo,Breath samples from patients with advanced gastric cancer,Breath samples from healthy individuals,C6H14
Gastric and esophageal,hexane,8058,110-54-3,Increase,in vivo,Breath samples from patients with advanced gastric cancer,Breath samples from healthy individuals,C6H14
Gastric and esophageal,2-methylhexane,11582,591-76-4,Increase,in vivo,Breath samples from patients with advanced gastric cancer,Breath samples from healthy individuals,C7H16
Gastric and esophageal,"2,3-dimethylpentane",11260,565-59-3,Increase,in vivo,Breath samples from patients with advanced gastric cancer,Breath samples from healthy individuals,C7H16
Gastric and esophageal,3-methylhexane,11507,589-34-4,Increase,in vivo,Breath samples from patients with advanced gastric cancer,Breath samples from healthy individuals,C7H16
Gastric and esophageal,5-methyl-2-propan-2-ylcyclohexan-1-ol,1254,1490-04-6,Decrease,in vivo,Breath samples from patients with advanced gastric cancer,Breath samples from healthy individuals,C10H20O
Gastric and esophageal,dodecane,8182,112-40-3,Increase,in vivo,Breath samples from patients with advanced gastric cancer,Breath samples from healthy individuals,C12H26
Gastric and esophageal,2-methylpentane,7892,107-83-5,Increase,in vivo,Breath samples from patients with early gastric cancer,Breath samples from healthy individuals,C6H14
Gastric and esophageal,2-methylpentane,7892,107-83-5,Increase,in vivo,Breath samples from patients with advanced gastric cancer,Breath samples from healthy individuals,C6H14
Gastric and esophageal,"2-methylbuta-1,3-diene",6557,78-79-5,Decrease,in vivo,Breath samples from patients with early gastric cancer,Breath samples from healthy individuals,C5H8
Gastric and esophageal,3-methylpentane,7282,96-14-0,Increase,in vivo,Breath samples from patients with early gastric cancer,Breath samples from healthy individuals,C6H14
Gastric and esophageal,hexane,8058,110-54-3,Increase,in vivo,Breath samples from patients with early gastric cancer,Breath samples from healthy individuals,C6H14
Gastric and esophageal,"2,3-dimethylpentane",11260,565-59-3,Increase,in vivo,Breath samples from patients with early gastric cancer,Breath samples from healthy individuals,C7H16
Gastric and esophageal,2-methylhexane,11582,591-76-4,Decrease,in vivo,Breath samples from patients with early gastric cancer,Breath samples from healthy individuals,C7H16
Gastric and esophageal,"2,2-dimethylpropanoic acid",6417,75-98-9,Increase,in vivo,Breath samples from patients with early gastric cancer,Breath samples from healthy individuals,C5H10O2
Gastric and esophageal,phenyl acetate,31229,122-79-2,Increase,in vivo,Breath samples from patients with early gastric cancer,Breath samples from healthy individuals,C8H8O2
Gastric and esophageal,5-methyl-2-propan-2-ylcyclohexan-1-ol,1254,1490-04-6,Decrease,in vivo,Breath samples from patients with early gastric cancer,Breath samples from healthy individuals,C10H20O
Gastric and esophageal,dodecane,8182,112-40-3,Increase,in vivo,Breath samples from patients with early gastric cancer,Breath samples from healthy individuals,C12H26
Gastric and esophageal,tetradecane,12389,629-59-4,Increase,in vivo,Breath from patients with advanced gastric cancer,Breath samples from healthy individuals,C14H30
Gastric and esophageal,tetradecane,12389,629-59-4,Increase,in vivo,Breath samples from patients with early gastric cancer,Breath samples from healthy individuals,C14H30
Gastric and esophageal,propan-2-one,180,67-64-1,Decrease,in vivo,Breath samples from patients with advanced gastric cancer,Breath from patients with early gastric cancer,C3H6O
Gastric and esophageal,"2-methylbuta-1,3-diene",6557,78-79-5,Decrease,in vivo,Breath samples from patients with advanced gastric cancer,Breath from patients with early gastric cancer,C5H8
Gastric and esophageal,3-methylpentane,7282,96-14-0,Increase,in vivo,Breath samples from patients with advanced gastric cancer,Breath from patients with early gastric cancer,C6H14
Gastric and esophageal,hexane,8058,110-54-3,Increase,in vivo,Breath samples from patients with advanced gastric cancer,Breath from patients with early gastric cancer,C6H14
Gastric and esophageal,"2,3-dimethylpentane",11260,565-59-3,Increase,in vivo,Breath samples from patients with advanced gastric cancer,Breath from patients with early gastric cancer,C7H16
Gastric and esophageal,2-methylhexane,11582,591-76-4,Increase,in vivo,Breath samples from patients with advanced gastric cancer,Breath from patients with early gastric cancer,C7H16
Gastric and esophageal,"2,2-dimethylpropanoic acid",6417,75-98-9,Decrease,in vivo,Breath samples from patients with advanced gastric cancer,Breath from patients with early gastric cancer,C5H10O2
Gastric and esophageal,phenyl acetate,31229,122-79-2,Decrease,in vivo,Breath samples from patients with advanced gastric cancer,Breath from patients with early gastric cancer,C8H8O2
Gastric and esophageal,5-methyl-2-propan-2-ylcyclohexan-1-ol,1254,1490-04-6,Decrease,in vivo,Breath samples from patients with advanced gastric cancer,Breath from patients with early gastric cancer,C10H20O
Gastric and esophageal,tetradecane,12389,629-59-4,Decrease,in vivo,Breath samples from patients with advanced gastric cancer,Breath from patients with early gastric cancer,C14H30
Gastric and esophageal,3-methylhexane,11507,589-34-4,Increase,in vivo,Breath samples from patients with advanced gastric cancer,Breath from patients with early gastric cancer,C7H16
Gastric and esophageal,propan-2-one,180,67-64-1,Increase,in vivo,gastric content from patients with gastro-esophageal cancer,gastric content from healthy individuals,C3H6O
Gastric and esophageal,methane,297,74-82-8,Decrease,in vivo,gastric content from patients with gastro-esophageal cancer,gastric content from healthy individuals,CH4
Gastric and esophageal,acetaldehyde,177,75-07-0,Increase,in vivo,gastric content from patients with gastro-esophageal cancer,gastric content from healthy individuals,C2H4O
Gastric and esophageal,hexanoic acid,8892,142-62-1,Increase,in vivo,gastric content from patients with gastro-esophageal cancer,gastric content from healthy individuals,C6H12O2
Gastric and esophageal,sulfane,402,04-06-7783,Increase,in vivo,gastric content from patients with gastro-esophageal cancer,gastric content from healthy individuals,H2S
Gastric and esophageal,sulfane,402,04-06-7783,Increase,in vivo,gastric content from patients with gastro-esophageal cancer,gastric content from healthy individuals,H2S
Gastric and esophageal,2-methylphenol,335,95-48-7,Increase,in vivo,gastric content from patients with gastro-esophageal cancer,gastric content from healthy individuals,C7H8O
Head and neck,"4,6-dimethyldodecane",545627,-,-,in vivo,Breath from head-and-neck cancer patients,Breath samples from healthy individuals,C14H30
Head and neck,5-methylhexan-3-one,12187,623-56-3,-,in vivo,Breath from head-and-neck cancer patients,Breath samples from healthy individuals,C7H14O
Head and neck,"2,2-dimethyldecane",28459,17302-37-3,-,in vivo,Breath from head-and-neck cancer patients,Breath samples from healthy individuals,C12H26
Head and neck,1-methyl-4-prop-1-en-2-ylcyclohexene,22311,138-86-3,-,in vivo,Breath from head-and-neck cancer patients,Breath samples from healthy individuals,C10H16
Head and neck,"(2S)-2,3,3-trimethylbicyclo[2.2.1]heptane",91746524,-,-,in vivo,Breath from head-and-neck cancer patients,Breath samples from healthy individuals,C10H18
Head and neck,azanium;acetate,517165,631-61-8,-,in vivo,Breath from head-and-neck cancer patients,Breath samples from patients with lung cancer,C2H7NO2
Head and neck,3-methylhexane,11507,589-34-4,-,in vivo,Breath from head-and-neck cancer patients,Breath samples from patients with lung cancer,C7H16
Head and neck,"2,4-dimethylheptane",16656,2213-23-2,-,in vivo,Breath from head-and-neck cancer patients,Breath samples from patients with lung cancer,C9H20
Head and neck,4-methyloctane,16665,2216-34-4,-,in vivo,Breath from head-and-neck cancer patients,Breath samples from patients with lung cancer,C9H20
Head and neck,"1,4-xylene",7809,106-42-3,-,in vivo,Breath from head-and-neck cancer patients,Breath samples from patients with lung cancer,C6H4(CH3)2
Head and neck,"2,6,6-trimethyloctane",551285,-,-,in vivo,Breath from head-and-neck cancer patients,Breath samples from patients with lung cancer,C11H24
Head and neck,3-methylnonane,22202,06-04-5911,-,in vivo,Breath from head-and-neck cancer patients,Breath samples from patients with lung cancer,C10H22
Lung,2-tert-butylsulfanylacetic acid,90460,24310-22-3,Decrease,in vivo,Breath samples from patients with colorectal cancer,Breath samples from healthy individuals,C6H12O2S
Lung,toluene,1140,108-88-3,Increase,in vivo,Breath samples from patients with colorectal cancer,Breath samples from healthy individuals,C6H5CH3
Lung,dodecane,8182,112-40-3,Decrease,in vivo,Breath samples from patients with colorectal cancer,Breath samples from healthy individuals,C12H26
Lung,"3,3-dimethylpentane",11229,562-49-2,Increase,in vivo,Breath samples from patients with colorectal cancer,Breath samples from healthy individuals,C7H16
Lung,"2,3,4-trimethylhexane",13533,921-47-1,Increase,in vivo,Breath samples from patients with colorectal cancer,Breath samples from healthy individuals,C9H20
Lung,"1-[2-cyclopenta-1,3-dien-1-yl-1-(4-phenylmethoxyphenyl)but-1-enyl]-4-phenylmethoxybenzene",102174370,-,Decrease,in vivo,Breath samples from patients with colorectal cancer,Breath samples from healthy individuals,C35H32O2
Lung,styrene,7501,100-42-5,Increase,Breath,Breath samples from patients with lung cancer,Breath samples from healthy individuals,C8H8
Lung,decane,15600,124-18-5,Increase,Breath,Breath samples from patients with lung cancer,Breath samples from healthy individuals,C10H22
Lung,"2-methylbuta-1,3-diene",6557,78-79-5,Increase,Breath,Breath samples from patients with lung cancer,Breath samples from healthy individuals,C5H8
Lung,benzene,241,71-43-2,Increase,Breath,Breath samples from patients with lung cancer,Breath samples from healthy individuals,C6H6
Lung,undecane,14257,1120-21-4,Increase,Breath,Breath samples from patients with lung cancer,Breath samples from healthy individuals,C11H24
Lung,hex-1-ene,11597,592-41-6,Increase,Breath,Breath samples from patients with lung cancer,Breath samples from healthy individuals,C6H12
Lung,hexanal,6184,66-25-1,Increase,Breath,Breath samples from patients with lung cancer,Breath samples from healthy individuals,C6H12O
Lung,propylbenzene,7668,103-65-1,Increase,Breath,Breath samples from patients with lung cancer,Breath samples from healthy individuals,C9H12
Lung,"1,2,4-trimethylbenzene",7247,95-63-6,Increase,Breath,Breath samples from patients with lung cancer,Breath samples from healthy individuals,C9H12
Lung,heptanal,8130,111-71-7,Increase,Breath,Breath samples from patients with lung cancer,Breath samples from healthy individuals,C7H14O
Lung,methylcyclopentane,7296,96-37-7,Increase,Breath,Breath samples from patients with lung cancer,Breath samples from healthy individuals,C6H12
Lung,butan-2-one,6569,78-93-3,Increase,in vitro,A549,OUS11; WI-38 VA13; Culture medium,C4H8O
Lung,pentan-2-one,7895,107-87-9,Increase,in vitro,A549,OUS11; WI-38 VA13; Culture medium,C5H10O
Lung,hexan-2-one,11583,591-78-6,Increase,in vitro,A549,OUS11; WI-38 VA13; Culture medium,C6H12O
Lung,1-phenylethanone,7410,98-86-2,Increase,in vitro,A549,OUS11; WI-38 VA13; Culture medium,C8H8O
Lung,phenol,996,108-95-2,Increase,in vitro,A549,OUS11; WI-38 VA13; Culture medium,C6H6O
Lung,dimethyl butanedioate,7820,106-65-0,Increase,in vitro,A549,OUS11; WI-38 VA13; Culture medium,C6H10O4
Lung,butan-2-one,6569,78-93-3,Increase,in vivo,Urine samples from tumor-bearing mice,Urine samples from healthy mice,C4H8O
Lung,pentan-2-one,7895,107-87-9,Increase,in vivo,Urine samples from tumor-bearing mice,Urine samples from healthy mice,C5H10O
Lung,hexan-2-one,11583,591-78-6,Increase,in vivo,Urine samples from tumor-bearing mice,Urine samples from healthy mice,C6H12O
Lung,2-methylpyrazine,7976,109-08-0,Increase,in vivo,Urine samples from tumor-bearing mice,Urine samples from healthy mice,C5H6N2
Lung,dimethyl butanedioate,7820,106-65-0,Increase,in vivo,Urine samples from tumor-bearing mice,Urine samples from healthy mice,C6H10O4
Lung,1-phenylethanone,7410,98-86-2,Increase,in vivo,Urine samples from tumor-bearing mice,Urine samples from healthy mice,C8H8O
Lung,phenol,996,108-95-2,Increase,in vivo,Urine samples from tumor-bearing mice,Urine samples from healthy mice,C6H6O
Lung,2-methylpent-1-ene,12986,763-29-1,Increase,in vitro,A549,Culture medium,C6H12
Lung,octane,356,111-65-9,Increase,in vitro,A549,Culture medium,C8H18
Lung,"2,4-dimethylhept-1-ene",123385,19549-87-2,Increase,in vitro,A549,Culture medium,C9H18
Lung,ethanol,702,64-17-5,Increase,in vitro,A549,Culture medium,CH3CH2OH
Lung,2-methoxy-2-methylpropane,15413,1634-04-4,Increase,in vitro,A549,Culture medium,(CH3)3COCH3
Lung,2-ethoxy-2-methylpropane,12512,637-92-3,Increase,in vitro,A549,Culture medium,C6H14O
Lung,propan-2-one,180,67-64-1,Increase,in vitro,A549,Culture medium,C3H6O
Lung,pentan-2-one,7895,107-87-9,Increase,in vitro,A549,Culture medium,C5H10O
Lung,butyl acetate,31272,123-86-4,Decrease,in vitro,A549,Culture medium,C6H12O2
Lung,2-methylprop-2-enal,6562,4170-30-3,Decrease,in vitro,A549,Culture medium,C4H6O
Lung,2-methylpropanal,6561,78-84-2,Decrease,in vitro,A549,Culture medium,C4H8O
Lung,2-methylidenebutanal,70203,922-63-4,Decrease,in vitro,A549,Culture medium,C5H8O
Lung,(E)-2-methylbut-2-enal,5321950,497-03-0,Decrease,in vitro,A549,Culture medium,C5H8O
Lung,3-methylbutanal,11552,590-86-3,Decrease,in vitro,A549,Culture medium,C5H10O
Lung,1H-pyrrole,8027,16199-06-7,Decrease,in vitro,A549,Culture medium,C4H5N
Lung,"2,3,3-trimethylpentane",11215,560-21-4,Increase,in vitro,CALU-1,Culture medium,C8H18
Lung,"2,3,5-trimethylhexane",14045,1069-53-0,Increase,in vitro,CALU-1,Culture medium,C9H20
Lung,"2,4-dimethylheptane",16656,2213-23-2,Increase,in vitro,CALU-1,Culture medium,C9H20
Lung,4-methyloctane,16665,2216-34-4,Increase,in vitro,CALU-1,Culture medium,C9H20
Lung,acetaldehyde,177,75-07-0,Decrease,in vitro,CALU-1,Culture medium,C2H4O
Lung,acetonitrile,6342,75-05-8,Decrease,in vitro,CALU-1,Culture medium,C2H3N
Lung,prop-2-enal,7847,107-02-8,Decrease,in vitro,CALU-1,Culture medium,CH2=CHCHO
Lung,2-methylprop-2-enal,6562,4170-30-3,Decrease,in vitro,CALU-1,Culture medium,C4H6O
Lung,2-methylpropanal,6561,78-84-2,Decrease,in vitro,CALU-1,Culture medium,C4H8O
Lung,butan-2-one,6569,78-93-3,Decrease,in vitro,CALU-1,Culture medium,C4H8O
Lung,2-methoxy-2-methylpropane,15413,1634-04-4,Decrease,in vitro,CALU-1,Culture medium,(CH3)3COCH3
Lung,3-methylbutanal,11552,590-86-3,Decrease,in vitro,CALU-1,Culture medium,C5H10O
Lung,(E)-2-methylbut-2-enal,5321950,497-03-0,Decrease,in vitro,CALU-1,Culture medium,C5H8O
Lung,2-ethoxy-2-methylpropane,12512,637-92-3,Decrease,in vitro,CALU-1,Culture medium,C6H14O
Lung,hexanal,6184,66-25-1,Decrease,in vitro,CALU-1,Culture medium,C6H12O
Lung,butyl acetate,31272,123-86-4,Decrease,in vitro,CALU-1,Culture medium,C6H12O2
Lung,decanal,8175,112-31-2,Decrease,in vitro,H1650; H820; A549; H2009; H1975; H4006; H1435; Calu-3; HCC95; HCC15; H226; NE18,Culture medium,C10H20O
Lung,decanal,8175,112-31-2,Increase,in vitro,H774; H69; H187; H526,Culture medium,C10H20O
Lung,decanal,8175,112-31-2,Decrease,in vitro,IBE/ immortal bronchial epithelium,Culture medium,C10H20O
Lung,6-methylhept-5-en-2-one,9862,409-02-9,Increase,in vitro,H1650; H820; A549; H2009; H1975; H4006; H1435; Calu-3; HCC95; HCC15; H226; NE18,Culture medium,C8H14O
Lung,6-methylhept-5-en-2-one,9862,409-02-9,Decrease,in vitro,H774; H69; H187; H526,Culture medium,C8H14O
Lung,"2,4-ditert-butylphenol",7311,96-76-4,Increase,in vitro,H1650; H820; A549; H2009; H1975; H4006; H1435; Calu-3; HCC95; HCC15; H226; NE18,Culture medium,C14H22O
Lung,"1,3-ditert-butylbenzene",136810,1014-60-4,Increase,in vitro,H1650; H820; A549; H2009; H1975; H4006; H1435; Calu-3; HCC95; HCC15; H226; NE18,Culture medium,C14H22
Lung,"1,3-ditert-butylbenzene",136810,1014-60-4,Decrease,in vitro,H774; H69; H187; H526,Culture medium,C14H22
Lung,styrene,7501,100-42-5,Increase,in vitro,H774; H69; H187; H526,Culture medium,C8H8
Lung,styrene,7501,100-42-5,Increase,in vitro,H1650; H820; A549; H2009; H1975; H4006; H1435; Calu-3; HCC95; HCC15; H226; NE18,Culture medium,C8H8
Lung,decanal,8175,112-31-2,Decrease,in vitro,LC,IBE(immortal bronchial epithelium),C10H20O
Lung,6-methylhept-5-en-2-one,9862,409-02-9,Increase,in vitro,H1650; H820; A549; H2009; H1975; H4006; H1435; Calu-3; HCC95; HCC15; H226; NE18,Culture medium,C8H14O
Lung,"2,4-ditert-butylphenol",7311,96-76-4,Increase,in vitro,H1650; H820; A549; H2009; H1975; H4006; H1435; Calu-3; HCC95; HCC15; H226; NE18,Culture medium,C14H22O
Lung,2-ethylhexan-1-ol,7720,104-76-7,Increase,in vitro,H1650; H820; A549; H2009; H1975; H4006; H1435; Calu-3; HCC95; HCC15; H226; NE18,culture medium,C8H18O
Lung,"1,3-ditert-butylbenzene",136810,1014-60-4,Increase,in vitro,H1650; H820; A549; H2009; H1975; H4006; H1435; Calu-3; HCC95; HCC15; H226; NE18,culture medium,C14H22
Lung,styrene,7501,100-42-5,increase,in vitro,H1650; H820; A549; H2009; H1975; H4006; H1435; Calu-3; HCC95; HCC15; H226; NE18,Culture medium,C8H8
Lung,nonanal,31289,124-19-6,Decrease,in vitro,H774; H69; H187; H526,Culture medium,C9H18O
Lung,tetradecane,12389,629-59-4,Decrease,in vitro,H774; H69; H187; H526,culture medium,C14H30
Lung,5-methyltridecane,520182,-,Decrease,in vitro,H774; H69; H187; H526,culture medium,C14H30
Lung,6-methylhept-5-en-2-one,9862,409-02-9,Decrease,in vitro,H774; H69; H187; H526,culture medium,C8H14O
Lung,1-phenylethanone,7410,98-86-2,Increase,in vitro,H774; H69; H187; H526,culture medium,C8H8O
Lung,2-ethylhexan-1-ol,7720,104-76-7,Decrease,in vitro,H774; H69; H187; H526,culture medium,C8H18O
Lung,"1,3-ditert-butylbenzene",136810,1014-60-4,Decrease,in vitro,H774; H69; H187; H526,culture medium,C14H22
Lung,"1,2-xylene;1,3-xylene;1,4-xylene",6850715,128686-03-3,Decrease,in vitro,H774; H69; H187; H526,culture medium,C24H30
Lung,styrene,7501,100-42-5,increase,in vitro,H774; H69; H187; H526,culture medium,C8H8
Lung,benzaldehyde,240,100-52-7,Decrease,in vitro,H1650; H820; A549; H2009; H1975; H4006; H1435; Calu-3; HCC95; HCC15; H226; NE18,H774; H69; H187; H526,C7H6O
Lung,nonanal,31289,124-19-6,increase,in vitro,H1650; H820; A549; H2009; H1975; H4006; H1435; Calu-3; HCC95; HCC15; H226; NE18,H774; H69; H187; H526,C9H18O
Lung,decanal,8175,112-31-2,Decrease,in vitro,H1650; H820; A549; H2009; H1975; H4006; H1435; Calu-3; HCC95; HCC15; H226; NE18,H774; H69; H187; H526,C10H20O
Lung,tetradecane,12389,629-59-4,increase,in vitro,H1650; H820; A549; H2009; H1975; H4006; H1435; Calu-3; HCC95; HCC15; H226; NE18,H774; H69; H187; H526,C14H30
Lung,5-methyltridecane,520182,-,increase,in vitro,H1650; H820; A549; H2009; H1975; H4006; H1435; Calu-3; HCC95; HCC15; H226; NE18,H774; H69; H187; H526,C14H30
Lung,6-methylhept-5-en-2-one,9862,409-02-9,increase,in vitro,H1650; H820; A549; H2009; H1975; H4006; H1435; Calu-3; HCC95; HCC15; H226; NE18,H774; H69; H187; H526,C8H14O
Lung,1-phenylethanone,7410,98-86-2,Decrease,in vitro,H1650; H820; A549; H2009; H1975; H4006; H1435; Calu-3; HCC95; HCC15; H226; NE18,H774; H69; H187; H526,C8H8O
Lung,"2,4-ditert-butylphenol",7311,96-76-4,Decrease,in vitro,H1650; H820; A549; H2009; H1975; H4006; H1435; Calu-3; HCC95; HCC15; H226; NE18,H774; H69; H187; H526,C14H22O
Lung,2-ethylhexan-1-ol,7720,104-76-7,Increase,in vitro,H1650; H820; A549; H2009; H1975; H4006; H1435; Calu-3; HCC95; HCC15; H226; NE18,H774; H69; H187; H526,C8H18O
Lung,"1,3-ditert-butylbenzene",136810,1014-60-4,Increase,in vitro,H1650; H820; A549; H2009; H1975; H4006; H1435; Calu-3; HCC95; HCC15; H226; NE18,H774; H69; H187; H526,C14H22
Lung,"1,2-xylene;1,3-xylene;1,4-xylene",6850715,128686-03-3,Increase,in vitro,H1650; H820; A549; H2009; H1975; H4006; H1435; Calu-3; HCC95; HCC15; H226; NE18,H774; H69; H187; H526,C24H30
Lung,styrene,7501,100-42-5,Decrease,in vitro,H1650; H820; A549; H2009; H1975; H4006; H1435; Calu-3; HCC95; HCC15; H226; NE18,H774; H69; H187; H526,C8H8
Lung,decanal,8175,112-31-2,Decrease,in vitro,H1650; H820; A549; H2009; H1975; H4006; H1435; Calu-3,Culture medium,C10H20O
Lung,6-methylhept-5-en-2-one,9862,409-02-9,Increase,in vitro,H1650; H820; A549; H2009; H1975; H4006; H1435; Calu-3,Culture medium,C8H14O
Lung,"2,4-ditert-butylphenol",7311,96-76-4,Increase,in vitro,H1650; H820; A549; H2009; H1975; H4006; H1435; Calu-3,Culture medium,C14H22O
Lung,2-ethylhexan-1-ol,7720,104-76-7,Increase,in vitro,H1650; H820; A549; H2009; H1975; H4006; H1435; Calu-3,Culture medium,C8H18O
